"Name","SizeKB","LastWriteTime"
"verify-embedding-001.ts","1,1","14/02/2026 18:16:29"
"verify-environments.ts","3,1","14/02/2026 18:16:29"
"verify-final-fix.ts","1,4","16/02/2026 11:29:58"
"verify-fix.ts","1,5","22/02/2026 2:10:57"
"verify-fixes.ts","1,5","22/02/2026 0:46:14"
"verify-graph-mutations.ts","3,6","17/02/2026 0:48:17"
"verify-hybrid-search.ts","1,6","14/02/2026 18:16:29"
"verify-ingest-fix.ts","1,5","16/02/2026 11:29:58"
"verify-ingestion-states.ts","2,9","16/02/2026 11:29:58"
"verify-leakage.ts","1,1","16/02/2026 11:29:58"
"verify-leakage-raw.ts","1,8","16/02/2026 11:29:58"
"verify-lockdown.ts","2,2","16/02/2026 11:29:58"
"verify-md5-dedup.ts","3,4","14/02/2026 18:16:29"
"verify-phase-155.ts","2","17/02/2026 0:48:17"
"verify-restoration.ts","2,4","16/02/2026 11:29:58"
"verify-schema-fix.ts","1,2","16/02/2026 11:29:58"
"verify-tenant-isolation.ts","3,8","16/02/2026 11:29:58"
"verify-user-models.ts","1,6","14/02/2026 18:16:29"
"verify-v3-resilience.ts","4,2","16/02/2026 11:29:58"
"worker.ts","3,3","14/02/2026 18:16:29"
"write-test-flag.ts","1,4","16/02/2026 11:29:58"
